CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
417954593,12/21/2016,13:00:00,,,01/03/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,RESIDENCE - APT. HOUSE,,,999525,231804,40.8029194,-73.944827707,"(40.8029194, -73.944827707)"
233307099,12/21/2016,08:00:00,01/03/2017,14:00:00,01/03/2017,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,RESIDENCE - APT. HOUSE,,,988631,204190,40.727138212,-73.984195143,"(40.727138212, -73.984195143)"
465053295,12/21/2016,00:01:00,01/03/2017,09:04:00,01/03/2017,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,1000693,234939,40.811522012,-73.940601181,"(40.811522012, -73.940601181)"
235521271,12/21/2016,09:00:00,,,01/02/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,RESIDENCE - APT. HOUSE,,,988613,205657,40.731164778,-73.984259135,"(40.731164778, -73.984259135)"
905206294,12/22/2016,12:00:00,12/22/2016,12:10:00,06/13/2017,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,COMMERCIAL BUILDING,,,982655,197091,40.707654096,-74.005754399,"(40.707654096, -74.005754399)"
913255702,12/22/2016,14:00:00,04/27/2017,14:15:00,04/28/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,23,INSIDE,PRIVATE/PAROCHIAL SCHOOL,,,998391,229756,40.797300086,-73.94892806,"(40.797300086, -73.94892806)"
900929170,12/22/2016,17:30:00,12/22/2016,17:45:00,03/22/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,17,INSIDE,BANK,,,992869,216627,40.761271557,-73.968888838,"(40.761271557, -73.968888838)"
769889001,12/22/2016,21:51:00,,,03/08/2017,121,CRIMINAL MISCHIEF & RELATED OF,273,"TAMPERING 1,CRIMINAL",COMPLETED,FELONY,N.Y. TRANSIT POLICE,MANHATTAN,7,,TRANSIT - NYC SUBWAY,,,986967,199425,40.714060101,-73.990200647,"(40.714060101, -73.990200647)"
895116800,12/22/2016,17:00:00,12/22/2016,17:06:00,02/22/2017,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,COMMERCIAL BUILDING,,,987796,213706,40.753257646,-73.987202743,"(40.753257646, -73.987202743)"
957670369,12/22/2016,09:00:00,02/21/2017,21:00:00,02/22/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,MANHATTAN,26,INSIDE,RESIDENCE - PUBLIC HOUSING,,MANHATTANVILLE,997129,237012,40.817217733,-73.953472135,"(40.817217733, -73.953472135)"
